,date,nums,season,air_temperature,relative_soil_mosture_p1,illumination_p1,soil_acidity_p1,relative_soil_mosture_p2,illumination_p2,soil_acidity_p2,relative_soil_mosture_p3,illumination_p3,soil_acidity_p3,relative_soil_mosture_p4,illumination_p4,soil_acidity_p4,relative_soil_mosture_p5,illumination_p5,soil_acidity_p5
0,2055-01-01,0,12,8.1,83.87117139,9.372267404,,85.40223511,5.730315332,,82.8478656,0.59394622,,83.8321832,7.302159597,,82.74929793,11.08264453,
1,2055-01-01,1,12,7,75.79658055,-0.746912749,,76.9537453,3.082596817,,75.24551154,-1.216490535,,78.30126909,1.251600496,,77.20109564,5.759566526,
2,2055-01-01,2,12,7.7,72.61339513,53.03652687,,73.43822947,48.87047119,,69.97141196,48.82186881,,71.98132603,43.72810092,,69.97381327,45.68379564,
3,2055-01-01,3,12,8,65.16647907,8.856842853,,65.57675737,8.397042595,,64.81117644,10.55536328,,63.75001383,12.02942279,,65.95648467,8.7577176,
4,2055-01-01,4,12,10,83.38466097,6.571901968,,85.17163013,9.68826684,,87.27313125,5.914887312,,82.59590372,3.701114515,,83.56726394,8.267669067,
5,2055-01-01,5,12,11,91.04126172,7.140262159,,92.70585641,9.385853813,,91.58739975,0.714764741,,89.68183353,12.30466868,,90.83169968,12.00656588,
6,2055-01-01,6,12,11.6,94.71784465,3.659304849,,93.38559836,9.229713504,,95.37643605,4.286964607,,94.9476529,-2.491988795,,91.80710809,4.940369675,
7,2055-01-01,7,12,11.7,94.05638245,3.784199215,,95.48715659,10.47379357,,92.70185489,-0.488853093,,92.12506277,2.755298932,,95.13206805,0.877549989,
8,2054-12-31,8,12,12,92.92394997,10.36829699,,95.76638719,-0.35875817,,95.444556,6.670982253,,95.12224548,2.495575528,,92.89749262,5.835330577,
9,2054-12-31,9,12,11.8,93.98654128,-2.094647671,,95.34229436,2.42201627,,94.97300935,4.719154192,,91.82275858,9.302244431,,91.55374443,-1.317689781,
10,2054-12-31,10,12,11.4,92.51688444,-1.646662141,,93.45997028,5.582885502,,95.66393645,-0.094919031,,96.08924687,12.23715511,,94.22687136,7.790427137,
